AFFGEOID,GEOID,geoid_ude,2014_unem,2018_unemp,18-14_unem
1400000US06059001601,"06059001601","6059001601",11.38,6.43,-4.950
1400000US06059001704,"06059001704","6059001704",6.83,7.93,1.100
1400000US06059011000,"06059011000","6059011000",7.95,8.01,0.060
1400000US06059011102,"06059011102","6059011102",15.61,6.99,-8.620
1400000US06059011403,"06059011403","6059011403",11.02,9.34,-1.680
1400000US06059011709,"06059011709","6059011709",7.77,3.25,-4.520
1400000US06059011714,"06059011714","6059011714",1.71,3.14,1.430
1400000US06059011717,"06059011717","6059011717",5.47,4.50,-0.970
1400000US06059011720,"06059011720","6059011720",12.36,6.98,-5.380
1400000US06059021809,"06059021809","6059021809",4.82,1.81,-3.010
1400000US06059021810,"06059021810","6059021810",4.44,2.97,-1.470
1400000US06059021813,"06059021813","6059021813",0.00,0.00,0.000
1400000US06059021814,"06059021814","6059021814",7.68,3.34,-4.340
1400000US06059021821,"06059021821","6059021821",7.74,0.87,-6.870
1400000US06059021822,"06059021822","6059021822",7.96,4.66,-3.300
1400000US06059021828,"06059021828","6059021828",9.36,2.99,-6.370
1400000US06059021829,"06059021829","6059021829",7.07,3.45,-3.620
1400000US06059021830,"06059021830","6059021830",7.01,2.41,-4.600
1400000US06059021903,"06059021903","6059021903",13.89,3.12,-10.770
1400000US06059021915,"06059021915","6059021915",3.46,6.32,2.860
1400000US06059021923,"06059021923","6059021923",5.62,1.93,-3.690
1400000US06059032002,"06059032002","6059032002",4.88,4.18,-0.700
1400000US06059032027,"06059032027","6059032027",5.33,4.17,-1.160
1400000US06059032029,"06059032029","6059032029",8.90,4.09,-4.810
1400000US06059032032,"06059032032","6059032032",9.90,6.02,-3.880
1400000US06059032041,"06059032041","6059032041",1.60,4.03,2.430
1400000US06059032044,"06059032044","6059032044",8.93,4.84,-4.090
1400000US06059032049,"06059032049","6059032049",3.61,3.50,-0.110
1400000US06059032057,"06059032057","6059032057",3.13,4.40,1.270
1400000US06059042106,"06059042106","6059042106",13.76,6.07,-7.690
1400000US06059042108,"06059042108","6059042108",11.82,4.16,-7.660
1400000US06059042205,"06059042205","6059042205",4.66,4.78,0.120
1400000US06059042305,"06059042305","6059042305",8.35,7.88,-0.470
